client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime
f1851_06,15,,136,train,26414840,26414840,1584361800,0.2978190559997529
f3841_01,15,,178,train,26414840,26414840,2112482400,0.42936060500005624
f3758_19,15,,176,train,26414840,26414840,1980452250,0.3680432649998693
f0166_12,15,,311,train,26414840,26414840,3564814050,0.6145456330000343
f3230_21,15,,183,train,26414840,26414840,2112482400,0.4423528699999224
f1121_47,15,,238,train,26414840,26414840,2772633150,0.474511295999946
f1472_37,15,,387,train,26414840,26414840,4489025100,0.8430072749997635
f0114_20,15,,302,train,26414840,26414840,3564814050,0.6710622000000512
f2160_96,15,,176,train,26414840,26414840,1980452250,0.3513189360000979
f3904_45,15,,153,train,26414840,26414840,1716391950,0.31845279100025436
f2499_74,15,,160,train,26414840,26414840,1848422100,0.33985395499985316
f3721_04,15,,179,train,26414840,26414840,2112482400,0.4139527519996591
f3465_24,15,,165,train,26414840,26414840,1848422100,0.3282208420000643
f2346_88,15,,169,train,26414840,26414840,1980452250,0.3560693109998283
f2042_30,15,,166,train,26414840,26414840,1848422100,0.33661983100000725
f1512_39,15,,140,train,26414840,26414840,1584361800,0.38262750600006257
f3547_04,15,,170,train,26414840,26414840,1980452250,0.34319482599994444
f1763_25,16,,157,train,26414840,26414840,1848422100,0.3189166820002356
f0365_07,16,,285,train,26414840,26414840,3300753750,0.6492715989998032
f0610_38,16,,278,train,26414840,26414840,3300753750,0.5484767979996832
f1851_06,16,,136,train,26414840,26414840,1584361800,0.28242895199991835
f3841_01,16,,178,train,26414840,26414840,2112482400,0.4928956130002007
f3758_19,16,,176,train,26414840,26414840,1980452250,0.357194545999846
f0166_12,16,,311,train,26414840,26414840,3564814050,0.641478933000144
f3230_21,16,,183,train,26414840,26414840,2112482400,0.39052310599981865
f1121_47,16,,238,train,26414840,26414840,2772633150,0.5403029580002112
f1472_37,16,,387,train,26414840,26414840,4489025100,0.7836140680001336
f0114_20,16,,302,train,26414840,26414840,3564814050,0.6933920679998664
f2160_96,16,,176,train,26414840,26414840,1980452250,0.3517247800000405
f3904_45,16,,153,train,26414840,26414840,1716391950,0.318637623000086
f2499_74,16,,160,train,26414840,26414840,1848422100,0.32490861600035714
f3721_04,16,,179,train,26414840,26414840,2112482400,0.40543050899987065
f3465_24,16,,165,train,26414840,26414840,1848422100,0.3411720190001688
f2346_88,16,,169,train,26414840,26414840,1980452250,0.3428159529998993
f2042_30,16,,166,train,26414840,26414840,1848422100,0.3422063490002074
f1512_39,16,,140,train,26414840,26414840,1584361800,0.3190586189998612
f3547_04,16,,170,train,26414840,26414840,1980452250,0.35077554100007546
f1763_25,17,,157,train,26414840,26414840,1848422100,0.32415189200037275
f0365_07,17,,285,train,26414840,26414840,3300753750,0.6819052329997248
f0610_38,17,,278,train,26414840,26414840,3300753750,0.5550497509998422
f1851_06,17,,136,train,26414840,26414840,1584361800,0.28726792699990256
f3841_01,17,,178,train,26414840,26414840,2112482400,0.3529955429999063
f3758_19,17,,176,train,26414840,26414840,1980452250,0.46516592700027104
f0166_12,17,,311,train,26414840,26414840,3564814050,0.6286582409998118
f3230_21,17,,183,train,26414840,26414840,2112482400,0.3547744440002134
f1121_47,17,,238,train,26414840,26414840,2772633150,0.6100189730000238
f1472_37,17,,387,train,26414840,26414840,4489025100,0.7744552809999732
f0114_20,17,,302,train,26414840,26414840,3564814050,0.6959094809999442
f2160_96,17,,176,train,26414840,26414840,1980452250,0.35953602900008264
f3904_45,17,,153,train,26414840,26414840,1716391950,0.32684667600005923
f2499_74,17,,160,train,26414840,26414840,1848422100,0.34786231799989764
f3721_04,17,,179,train,26414840,26414840,2112482400,0.45554744599985497
f3465_24,17,,165,train,26414840,26414840,1848422100,0.33571527200001583
