experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
clients,shakespeare,3,"E = 1, tx = 1.0",1337,3,915.3530327689999,3.751188403,919.1042211719999,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,3,"E = 1, tx = 1.0",2026,3,915.3530327689999,3.6076671470000004,918.960699916,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,3,"E = 1, tx = 1.0",8888,3,915.3530327689999,3.1024073339999996,918.4554401030001,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,3,"E = 1, tx = 1.0",9999,3,915.3530327689999,3.478256548,918.831289317,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_3_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,4,"E = 1, tx = 1.0",42,4,1083.2386910730002,3.4601925590000002,1086.6988836320002,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_4_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,shakespeare,4,"E = 1, tx = 1.0",1337,4,1083.2386910730002,3.2432837029999995,1086.481974776,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_4_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,4,"E = 1, tx = 1.0",2026,4,1083.2386910730002,3.377586101,1086.616277174,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_4_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,4,"E = 1, tx = 1.0",8888,4,1083.2386910730002,3.6565069859999997,1086.895198059,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_4_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,4,"E = 1, tx = 1.0",9999,4,1083.2386910730002,3.106126448,1086.3448175209999,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_4_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,5,"E = 1, tx = 1.0",42,5,1246.0997584650001,3.55435748,1249.6541159450003,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_5_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
