client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f1628_45,70,,155,train,26414840,26414840,1716391950,0.8557061422616243,5758.454818245024,5759.310524387285,97550500217.82518,100.0,200.0,0.9755050021782516,0.4877525010891258
f3194_31,70,,184,train,26414840,26414840,2112482400,1.0274103060364723,5759.324834706262,5760.352245012298,117124774888.15784,100.0,200.0,1.1712477488815785,0.5856238744407892
f1008_28,71,,365,train,26414840,26414840,4224964800,2.0093805957585573,5762.854999760166,5764.864380355924,229069387916.47552,100.0,100.0,2.2906938791647553,2.2906938791647553
f3563_46,71,,180,train,26414840,26414840,2112482400,1.0138790290802715,5764.884858168662,5765.898737197742,115582209315.15096,100.0,100.0,1.1558220931515093,1.1558220931515093
f1182_38,71,,351,train,26414840,26414840,4092934650,1.9430446326732635,5765.913539480418,5767.856584113091,221507088124.75204,100.0,100.0,2.21507088124752,2.21507088124752
f1022_17,71,,275,train,26414840,26414840,3168723600,1.518094975501299,5767.87672012113,5769.394815096632,173062827207.14807,100.0,100.0,1.7306282720714805,1.7306282720714805
f2520_64,71,,179,train,26414840,26414840,2112482400,0.9984097238630056,5769.415211504325,5770.413621228188,113818708520.38264,100.0,100.0,1.1381870852038263,1.1381870852038263
f2483_64,71,,170,train,26414840,26414840,1980452250,0.958116978406906,5770.434426149353,5771.39254312776,109225335538.38728,100.0,100.0,1.0922533553838727,1.0922533553838727
f0089_16,71,,369,train,26414840,26414840,4356994950,2.051045017316937,5771.413015283644,5773.464060300961,233819131974.13083,100.0,100.0,2.338191319741308,2.338191319741308
f3730_33,71,,172,train,26414840,26414840,1980452250,0.9624165259301662,5773.478661706671,5774.441078232601,109715483956.03896,100.0,100.0,1.0971548395603894,1.0971548395603894
f2186_55,71,,172,train,26414840,26414840,1980452250,0.9613512754440308,5774.460893006995,5775.422244282439,109594045400.6195,100.0,100.0,1.095940454006195,1.095940454006195
f1810_02,71,,109,train,26414840,26414840,1188271350,0.6091508604586124,5775.442824423313,5776.051975283772,69443198092.28181,100.0,100.0,0.6944319809228181,0.6944319809228181
f3319_48,71,,159,train,26414840,26414840,1848422100,0.8968255203217268,5776.0722313039005,5776.969056824222,102238109316.67685,100.0,100.0,1.0223810931667685,1.0223810931667685
f3454_44,71,,128,train,26414840,26414840,1452331650,0.7195231765508652,5776.983606776223,5777.703129952773,82025642126.79863,100.0,100.0,0.8202564212679863,0.8202564212679863
f0058_07,71,,272,train,26414840,26414840,3168723600,1.5087967962026596,5777.723287440836,5779.232084237039,172002834767.1032,100.0,100.0,1.7200283476710319,1.7200283476710319
f1897_40,71,,149,train,26414840,26414840,1716391950,0.8381856083869934,5779.252366643399,5780.090552251786,95553159356.11725,100.0,100.0,0.9555315935611725,0.9555315935611725
f3924_24,71,,173,train,26414840,26414840,1980452250,0.9649955239146948,5780.110918721184,5781.075914245099,110009489726.2752,100.0,100.0,1.100094897262752,1.100094897262752
f1579_11,71,,173,train,26414840,26414840,1980452250,0.9628233332186936,5781.090391363949,5782.053214697167,109761859986.93108,100.0,100.0,1.0976185998693107,1.0976185998693107
f0618_44,71,,248,train,26414840,26414840,2904663300,1.386707179248333,5782.073077864945,5783.459785044193,158084618434.30997,100.0,100.0,1.5808461843430994,1.5808461843430994
f0240_02,71,,108,train,26414840,26414840,1188271350,0.6049615852534771,5783.479832611978,5784.084794197232,68965620718.8964,100.0,100.0,0.6896562071889638,0.6896562071889638
