client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end,computingDemand,computingCap_hom,computingCap_het,computingTime_hom,computingTime_het
f0089_16,23,,369,train,26414840,26414840,4356994950,0.6391120795160532,660.7749207075685,661.4140327870846,72858777064.83006,100.0,100.0,0.7285877706483006,0.7285877706483006
f3730_33,23,,172,train,26414840,26414840,1980452250,0.3030126169323921,661.4385016039014,661.7415142208338,34543438330.2927,100.0,100.0,0.345434383302927,0.345434383302927
f2186_55,23,,172,train,26414840,26414840,1980452250,0.2991616278886795,661.7577556651086,662.0569172929972,34104425579.309464,100.0,100.0,0.3410442557930946,0.3410442557930946
f1810_02,23,,109,train,26414840,26414840,1188271350,0.19724434427917,662.0802064519376,662.2774507962167,22485855247.825382,100.0,100.0,0.2248585524782538,0.2248585524782538
f3319_48,23,,159,train,26414840,26414840,1848422100,0.2827064841985702,662.3006521444768,662.5833586286753,32228539198.637,100.0,100.0,0.32228539198637,0.32228539198637
f3454_44,23,,128,train,26414840,26414840,1452331650,0.2254315093159675,662.6061094719917,662.8315409813076,25699192062.020294,100.0,100.0,0.25699192062020293,0.25699192062020293
f0058_07,23,,272,train,26414840,26414840,3168723600,0.4669715762138366,662.8539140038192,663.3208855800331,53234759688.37737,100.0,100.0,0.5323475968837736,0.5323475968837736
f1897_40,23,,149,train,26414840,26414840,1716391950,0.2597629595547914,663.3468807041645,663.6066436637193,29612977389.24622,100.0,100.0,0.29612977389246214,0.29612977389246214
f3924_24,23,,173,train,26414840,26414840,1980452250,0.2994609288871288,663.6279110722244,663.9273720011115,34138545893.13268,100.0,100.0,0.34138545893132677,0.34138545893132677
f1579_11,23,,173,train,26414840,26414840,1980452250,0.2979829218238592,663.9498441610485,664.2478270828724,33970053087.919952,100.0,100.0,0.3397005308791995,0.3397005308791995
f0618_44,23,,248,train,26414840,26414840,2904663300,0.4214849434792995,664.2718757204711,664.6933606639504,48049283556.640144,100.0,100.0,0.4804928355664014,0.4804928355664014
f0240_02,23,,108,train,26414840,26414840,1188271350,0.1894658245146274,664.716353835538,664.9058196600527,21599103994.667522,100.0,100.0,0.2159910399466752,0.2159910399466752
f1158_21,23,,232,train,26414840,26414840,2640603000,0.3956396766006946,664.9299887437373,665.325628420338,45102923132.47919,100.0,100.0,0.4510292313247918,0.4510292313247918
f0981_17,23,,339,train,26414840,26414840,3960904500,0.5703242961317301,665.3419039119035,665.9122282080352,65016969759.01723,100.0,100.0,0.6501696975901722,0.6501696975901722
f1336_30,23,,262,train,26414840,26414840,3036693450,0.4393641948699951,665.9346660338342,666.3740302287042,50087518215.17944,100.0,100.0,0.5008751821517944,0.5008751821517944
f0690_26,23,,193,train,26414840,26414840,2244512550,0.3292724173516035,666.3969892188907,666.7262616362423,37537055578.0828,100.0,100.0,0.37537055578082795,0.37537055578082795
f0048_00,23,,132,train,26414840,26414840,1452331650,0.2259349431842565,666.7468571439385,666.9727920871228,25756583523.00524,100.0,100.0,0.2575658352300524,0.2575658352300524
f2148_78,23,,178,train,26414840,26414840,2112482400,0.3030208889394998,666.9957766868174,667.2987975757569,34544381339.102974,100.0,100.0,0.34544381339102975,0.34544381339102975
f1128_24,23,,110,train,26414840,26414840,1188271350,0.1884942092001438,667.3222535923123,667.5107478015125,21488339848.81639,100.0,100.0,0.2148833984881639,0.2148833984881639
f2328_92,23,,167,train,26414840,26414840,1980452250,0.2833788972347975,667.533495247364,667.8168741445988,32305194284.766914,100.0,100.0,0.3230519428476691,0.3230519428476691
f2557_98,23,,174,train,26414840,26414840,1980452250,0.3017776366323232,667.8400685433298,668.1418461799622,34402650576.08485,100.0,100.0,0.3440265057608484,0.3440265057608484
f1724_42,23,,160,train,26414840,26414840,1848422100,0.2812714334577322,668.1577509194613,668.439022352919,32064943414.181473,100.0,100.0,0.3206494341418147,0.3206494341418147
f2339_76,23,,176,train,26414840,26414840,1980452250,0.3039796240627765,668.4624033607543,668.766382984817,34653677143.156525,100.0,100.0,0.3465367714315652,0.3465367714315652
f3814_43,23,,180,train,26414840,26414840,2112482400,0.3114351909607649,668.7824862319976,669.0939214229584,35503611769.5272,100.0,100.0,0.35503611769527194,0.35503611769527194
f0467_18,23,,303,train,26414840,26414840,3564814050,0.5134650785475969,669.1175296213478,669.6309946998954,58535018954.42605,100.0,100.0,0.5853501895442604,0.5853501895442604
f1054_20,23,,282,train,26414840,26414840,3300753750,0.4826881643384695,669.6543750111014,670.1370631754398,55026450734.585526,100.0,100.0,0.5502645073458552,0.5502645073458552
f3136_07,23,,179,train,26414840,26414840,2112482400,0.310434028506279,670.1602601353079,670.4706941638142,35389479249.715805,100.0,64.0,0.353894792497158,0.5529606132768095
f0800_00,23,,278,train,26414840,26414840,3300753750,0.4761266708374023,670.4950340650976,670.971160735935,54278440475.46386,100.0,64.0,0.5427844047546385,0.8481006324291228
f0114_20,23,,302,train,26414840,26414840,3564814050,0.5138251278549433,670.9949770327657,671.5088021606207,58576064575.46353,100.0,64.0,0.5857606457546353,0.9152510089916177
